osm_id,OCC_TYPE
237158386,education
238501770,residential
238678592,retail_food
238678637,office
241805592,residential
243007148,religious
243007150,industrial
3284771,retail_food
243868863,hospitality
243868927,office
243869137,residential
243876062,retail_food
243876156,residential
244789430,residential
245447349,religious
246253402,retail_food
248066561,other
249992830,retail_food
250476665,civic_transit
250480469,residential
256442489,residential
259642664,retail_food
264270592,industrial
264271067,other
264271105,retail_food
264271407,retail_food
264271426,retail_food
264385319,office
264842847,office
264964242,civic_transit
264964391,civic_transit
265071438,residential
265072733,retail_food
265072856,retail_food
265073349,retail_food
266358255,office
266359497,education
267254732,retail_food
268413820,retail_food
268419221,retail_food
268511256,religious
270240920,residential
271185246,industrial
271236476,retail_food
271236477,retail_food
271265001,civic_transit
272201972,residential
273618973,retail_food
273645074,retail_food
274893476,residential
275848026,residential
275848027,residential
275848028,residential
275848029,residential
275848030,residential
275848031,residential
275848032,residential
275848033,residential
275848034,residential
275848035,residential
275848036,residential
275848037,residential
275848038,residential
275848039,residential
275848040,residential
275848041,residential
275848042,residential
275848043,residential
275848044,residential
275848045,residential
275848046,residential
275848047,residential
275848048,residential
5670660,residential
276753373,residential
276753374,residential
276753375,residential
276753376,residential
276753377,residential
276753378,residential
276753379,residential
276753380,residential
276753382,residential
276753383,residential
276753384,residential
276753385,residential
276753386,residential
276753387,residential
276753388,residential
276753389,residential
276753391,residential
276753392,residential
276753393,residential
276753394,residential
276753395,residential
276753396,residential
276753397,residential
276753398,residential
276753399,residential
276753400,residential
276753401,residential
276753402,residential
276758314,education
276758315,education
276758316,education
276758317,education
276758318,education
276758319,education
276758320,religious
276758321,education
276758322,education
276758323,education
276758324,education
277705978,residential
277705981,residential
277705983,residential
277705985,residential
277705986,residential
277705988,residential
277705990,residential
277705995,residential
277705997,residential
277705999,retail_food
277706001,residential
277706003,residential
277706005,residential
277706006,residential
277706009,residential
277706011,residential
277706013,residential
277706015,residential
277706016,residential
277706019,residential
277706020,retail_food
277706022,residential
277706024,industrial
277706028,residential
277706031,residential
277706035,residential
277706036,residential
277706037,residential
277706038,residential
277706039,residential
277706040,retail_food
277706041,residential
277706042,residential
277706043,residential
277706044,retail_food
277706045,residential
277706046,residential
277706047,retail_food
277706048,residential
277706049,residential
277706050,residential
277706051,residential
277706052,industrial
277706053,residential
277706054,office
277706055,residential
277706056,office
277706057,residential
277706058,office
277706059,residential
277706060,residential
277706061,residential
277706062,office
277706063,residential
277706064,retail_food
277706065,retail_food
277706066,residential
277706071,office
277706072,office
277706073,office
277706074,retail_food
277706078,other
277706079,other
277706080,other
277706081,other
277706082,other
277706083,other
277706084,other
277706085,other
277706086,other
277706087,other
277706088,other
277706089,other
277706090,other
277706091,other
277706092,other
277706093,other
277706094,other
277706095,other
277706096,other
277706097,other
277706098,other
277706099,other
277706100,other
277706101,other
277706102,other
277706103,other
277706105,other
277706106,other
277706107,other
277706108,other
277706109,other
277706110,other
277706111,other
277706112,other
277706113,other
277706114,other
277706115,other
277706116,other
277707496,residential
277723797,residential
277723798,residential
277723799,residential
277723800,education
277723801,residential
277723802,residential
3610441,education
3690422,education
3690423,education
3690421,education
3690424,education
279660070,residential
280672194,education
284934581,residential
284934582,residential
284934598,residential
284934601,residential
284935777,office
284936172,retail_food
284936726,industrial
289467708,retail_food
289468192,retail_food
289486743,retail_food
289487119,retail_food
289487120,retail_food
289487168,retail_food
289487250,retail_food
289515650,office
289515801,residential
289515854,residential
289555109,office
289666122,office
289666131,retail_food
289666138,office
289708269,retail_food
289708818,retail_food
289710243,retail_food
289710415,office
289711842,retail_food
291064397,residential
291821665,religious
291978560,retail_food
291978562,retail_food
291978699,office
291979135,retail_food
291979263,retail_food
291979446,retail_food
291979616,retail_food
291981196,retail_food
291982777,retail_food
291986500,office
291986552,retail_food
291986582,office
291986616,industrial
292332282,civic_transit
292617559,retail_food
293071625,residential
5763991,civic_transit
8632582,industrial
293476627,civic_transit
293484040,industrial
293484041,industrial
293493213,residential
293493214,residential
293493215,residential
293493216,residential
293493217,residential
293493224,office
293494545,retail_food
293632401,office
293634618,retail_food
293634622,residential
293634623,residential
293634624,residential
293634751,residential
293634752,residential
293634753,residential
293634754,retail_food
293634755,residential
293634758,residential
293634759,residential
293634760,civic_transit
293634761,office
293634762,residential
293634763,residential
293635467,residential
293635468,residential
293635469,residential
293635470,residential
293635471,residential
293635472,residential
293635473,residential
293635474,residential
293635475,residential
293635479,residential
293635480,residential
293635481,residential
293635482,residential
293635483,residential
293635484,residential
293635485,residential
293635494,residential
293635495,residential
293635496,residential
293635497,residential
293635498,residential
293635704,office
293636457,retail_food
293637676,residential
293637677,residential
293637678,residential
293637679,residential
293637683,residential
293637684,office
293637685,residential
293637686,retail_food
293641198,industrial
293641199,residential
293641200,residential
293641202,residential
293641207,office
293641208,office
293642349,retail_food
293774834,office
293806740,office
293806741,residential
293806743,office
293806745,residential
294594368,residential
294594369,residential
294594370,other
294596343,residential
294597757,education
294597759,residential
294597760,education
294597765,education
294599426,education
294599428,education
294599429,education
294600389,education
294600390,education
294600395,education
294600397,education
294600401,education
294600409,education
294600601,education
294601873,education
294601876,retail_food
294601880,education
294601881,education
294601888,education
294602558,retail_food
294605491,office
294605492,office
295027445,office
295027448,residential
295027449,residential
295027461,industrial
295028296,office
295028305,retail_food
295029483,retail_food
295029855,residential
295029856,residential
295029857,residential
295029858,residential
295031095,office
295031096,residential
295031100,residential
295031108,residential
295031109,residential
295031111,retail_food
295031119,residential
295031127,residential
